 N§_boletim;data_hora_boletim;  seq_veic; cod_categ; descricao_categoria; cod_especie;  descricao_especie; cod_situacao; desc_situacao; tipo_socorro; desc_tipo_socorro
2023-036757002-001;07/08/2023 12:36;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-036760482-001;06/08/2023 09:30;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-036760482-001;06/08/2023 09:30;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-039003045-001;26/07/2023 18:15;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;4;TERCEIROS           
2023-039007708-001;20/08/2023 17:08;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-039007708-001;20/08/2023 17:08;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-039016492-001;20/08/2023 18:37;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-039016492-001;20/08/2023 18:37;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;6;NÇO SE APLICA       
2023-039022330-001;20/08/2023 18:09;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;6;NÇO SE APLICA       
2023-039022330-001;20/08/2023 18:09;3;3;PARTICULAR                    ;0;NAO INFORMADO                 ;2;PARADO         ;6;NÇO SE APLICA       
2023-039022330-001;20/08/2023 18:09;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-039023820-001;20/08/2023 19:38;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-039023820-001;20/08/2023 19:38;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-039025409-001;20/08/2023 19:32;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-039025409-001;20/08/2023 19:32;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÇO INFORMADO       
2023-039030680-001;20/08/2023 20:24;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-039030680-001;20/08/2023 20:24;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-039032965-001;20/08/2023 20:00;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-039032965-001;20/08/2023 20:00;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-039033249-001;20/08/2023 20:13;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-039037429-001;20/08/2023 21:16;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-039038856-001;20/08/2023 21:23;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-039038856-001;20/08/2023 21:23;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;3;AMBULANCIA          
2023-039040620-001;20/08/2023 21:30;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-039040620-001;20/08/2023 21:30;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;5;DISPENSOU ATENDIMEN 
2023-039049029-001;20/08/2023 22:23;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
2023-039049029-001;20/08/2023 22:23;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;0;NÇO INFORMADO       
2023-039056046-001;20/08/2023 23:36;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;2;PARADO         ;5;DISPENSOU ATENDIMEN 
2023-039056046-001;20/08/2023 23:36;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;6;NÇO SE APLICA       
